Rank,Team,2024,Last 3,Last 1,Home,Away,2023
355,Kansas,0.243,0.242,0.203,0.256,0.23,0.325
356,Drexel,0.242,0.335,0.172,0.26,0.229,0.300
357,St Francis PA,0.24,0.284,0.292,0.273,0.222,0.325
358,Cincinnati,0.234,0.194,0.19,0.259,0.208,0.276
359,Canisius,0.233,0.189,0.131,0.216,0.246,0.275
360,FGCU,0.231,0.201,0.203,0.234,0.227,0.272
361,UT Rio Grande,0.227,0.149,0.117,0.253,0.208,0.412
362,Colgate,0.226,0.154,0.123,0.26,0.203,0.275
363,Marist,0.224,0.14,0.209,0.246,0.202,0.298
364,Holy Cross,0.222,0.231,0.0,0.241,0.211,0.259
