Rank,Team,2024,Last 3,Last 1,Home,Away,2023
350,SE Missouri St,0.428,0.451,0.519,0.412,0.439,0.442
351,Georgia So,0.431,0.327,0.633,0.339,0.495,0.430
352,LIU,0.435,0.383,0.489,0.38,0.473,0.410
353,Hampton,0.436,0.503,0.723,0.297,0.521,0.299
354,Louisiana,0.438,0.372,0.214,0.469,0.409,0.401
355,UTSA,0.439,0.426,0.333,0.434,0.443,0.346
356,N Illinois,0.44,0.533,0.804,0.406,0.465,0.347
357,CS Northridge,0.451,0.406,0.361,0.437,0.458,0.395
358,San Diego,0.461,0.349,0.316,0.425,0.502,0.386
359,Alabama A&M,0.467,0.338,0.193,0.481,0.454,0.452
360,CS Bakersfield,0.469,0.376,0.558,0.428,0.498,0.467
361,S Carolina St,0.47,0.458,0.708,0.371,0.515,0.492
362,Tarleton St,0.483,0.458,0.241,0.578,0.439,0.340
363,Denver,0.498,0.568,0.733,0.501,0.497,0.320
364,Abl Christian,0.514,0.561,0.723,0.517,0.512,0.399
